iter	Logloss
0	0.6590987767
1	0.6344611896
2	0.6085033937
3	0.5864477198
4	0.5689527248
5	0.5547020027
6	0.5408098096
7	0.5288876617
8	0.5212998547
9	0.514263249
10	0.5040873524
11	0.4938810405
12	0.4851636666
13	0.4817652315
14	0.4754498277
15	0.4687364391
16	0.4623668663
17	0.4560853545
18	0.4517658499
19	0.4480278174
20	0.4430853066
21	0.4401410221
22	0.4345578296
23	0.4312645575
24	0.4284892447
25	0.4232301373
26	0.4180919672
27	0.4146481424
28	0.4124537771
29	0.4105860008
30	0.4082010469
31	0.4072720671
32	0.4049227576
33	0.4026229502
34	0.4006823555
35	0.3983321302
36	0.3969100552
37	0.3938714144
38	0.3922997737
39	0.3905863387
40	0.3883096861
41	0.3870324384
42	0.3856589669
43	0.3834122151
44	0.3812848601
45	0.3786135246
46	0.3775047472
47	0.3752202221
48	0.3731986744
49	0.3722236741
50	0.3710999196
51	0.3701882935
52	0.3690726602
53	0.3678547447
54	0.3657905059
55	0.364138234
56	0.3613928004
57	0.3598313322
58	0.3592680153
59	0.3582660841
60	0.3572724339
61	0.3561657683
62	0.3550103714
63	0.3536531036
64	0.3528989393
65	0.3518053364
66	0.3500413429
67	0.3492445673
68	0.3474548368
69	0.3465785469
70	0.3453748148
71	0.3435601826
72	0.3422690731
73	0.3408750755
74	0.3401619713
75	0.338925635
76	0.3376138529
77	0.3364522935
78	0.3349216348
79	0.3339382973
80	0.3330217225
81	0.3322418622
82	0.3309293093
83	0.3305638248
84	0.329392736
85	0.3286570804
86	0.3281087273
87	0.3277079316
88	0.3265373676
89	0.3260489998
90	0.3253223391
91	0.3246175431
92	0.3233244026
93	0.3228264968
94	0.3225519728
95	0.3217062909
96	0.321580122
97	0.3209811677
98	0.3204991467
99	0.3201640434
100	0.3195609929
101	0.3188177808
102	0.3185456521
103	0.3181982412
104	0.3180115348
105	0.3173013099
106	0.3165050771
107	0.3153965552
108	0.3147799469
109	0.31378218
110	0.3135686917
111	0.3131029285
112	0.3125900344
113	0.3116453319
114	0.3110690445
115	0.3106548799
116	0.3096350625
117	0.3090997612
118	0.3085801813
119	0.3080675675
120	0.3072064876
121	0.3070685933
122	0.3059231256
123	0.3047789557
124	0.3040064736
125	0.3032655429
126	0.3023472542
127	0.30144319
128	0.3009834297
129	0.3004554414
130	0.2998465955
131	0.29929602
132	0.2989879224
133	0.2984259347
134	0.2981381703
135	0.2976268354
136	0.2968506569
137	0.2958148635
138	0.295529633
139	0.2947690242
140	0.2946693071
141	0.2937582819
142	0.2932338667
143	0.2922506992
144	0.2921247357
145	0.2910324963
146	0.2904921137
147	0.2898670567
148	0.2888772327
149	0.2886007473
150	0.2879644559
151	0.2878286903
152	0.2869625903
153	0.2861417346
154	0.2853823521
155	0.2846241378
156	0.2841071165
157	0.283915067
158	0.283798075
159	0.2822764791
160	0.281839143
161	0.2811535148
162	0.2809504227
163	0.2804107522
164	0.279821002
165	0.2792797233
166	0.2784520122
167	0.2775662715
168	0.2768643801
169	0.2761161215
170	0.2757273801
171	0.2752353258
172	0.2746135399
173	0.2742852857
174	0.2737926438
175	0.2733207565
176	0.272301929
177	0.2719851736
178	0.2712328117
179	0.2708589336
180	0.2698276376
181	0.2695088225
182	0.2694309556
183	0.2687748738
184	0.2676818163
185	0.2667093465
186	0.2664538459
187	0.2657595517
188	0.2653439
189	0.264212233
190	0.263492054
191	0.2622801807
192	0.2615451336
193	0.2604404574
194	0.259992595
195	0.2589392466
196	0.258723531
197	0.2581656198
198	0.2577456148
199	0.2575427762
200	0.2570851995
201	0.2561699709
202	0.2555848259
203	0.254604176
204	0.2542530861
205	0.2540397349
206	0.2533992907
207	0.2532504448
208	0.2528195381
209	0.2526886565
210	0.2522890648
211	0.2518076496
212	0.2514224547
213	0.2511786144
214	0.2505030223
215	0.2495244826
216	0.24862401
217	0.2482896023
218	0.2479809496
219	0.2473968389
220	0.2467233487
221	0.2462909059
222	0.2461301704
223	0.245520335
224	0.2452456798
225	0.2447872943
226	0.2446615025
227	0.2437489832
228	0.2431119369
229	0.2427379282
230	0.2420383198
231	0.2413749089
232	0.2411863128
233	0.2409068276
234	0.2400508616
235	0.2397447172
236	0.2390627925
237	0.2389097399
238	0.2387666352
239	0.2386410044
240	0.2383629135
241	0.2379046105
242	0.2377916857
243	0.2373108418
244	0.2370031204
245	0.2365048347
246	0.2358049164
247	0.2350932777
248	0.2341234632
249	0.2336382747
250	0.2331359851
251	0.2328596477
252	0.2321533536
253	0.2317187504
254	0.2312656764
255	0.2307184819
256	0.2301646462
257	0.2295199101
258	0.2284069015
259	0.2273231753
260	0.2270627171
261	0.2263242626
262	0.2260315411
263	0.2253742627
264	0.2249344939
265	0.2245021212
266	0.2242535234
267	0.2240053767
268	0.2237794547
269	0.2235356154
270	0.2230477319
271	0.2229675028
272	0.2227070284
273	0.2222001466
274	0.2220552669
275	0.2215861245
276	0.2213226769
277	0.2210135712
278	0.2204593451
279	0.2201166458
280	0.2194292989
281	0.2189326233
282	0.2185592719
283	0.2181590496
284	0.2179701879
285	0.2175950914
286	0.2174672551
287	0.2171080385
288	0.2168301077
289	0.2162263413
290	0.2157800938
291	0.2153955605
292	0.2150910654
293	0.2148531949
294	0.2144715483
295	0.214108404
296	0.2138734511
297	0.2134795844
298	0.212810559
299	0.2125838503
300	0.2120571757
301	0.2119636623
302	0.2114870019
303	0.2112979445
304	0.21097264
305	0.2105546361
306	0.2103595742
307	0.2098307345
308	0.2094652648
309	0.2088617872
310	0.208595024
311	0.2084521792
312	0.2076510711
313	0.2072076868
314	0.2068770018
315	0.2065588153
316	0.2062435185
317	0.2058021816
318	0.2055639599
319	0.2051059894
320	0.2047687554
321	0.2040860525
322	0.2038653943
323	0.2033636547
324	0.202859088
325	0.2023096812
326	0.2019044036
327	0.2015003661
328	0.2012932594
329	0.2006771437
330	0.2003645163
331	0.2000209182
332	0.1998514902
333	0.1996332967
334	0.1989103275
335	0.1983659716
336	0.1978644608
337	0.1976101638
338	0.1971536334
339	0.1969767699
340	0.1963721978
341	0.1961819686
342	0.1957555535
343	0.1948690313
344	0.1944844973
345	0.194413163
346	0.1939467117
347	0.1936564869
348	0.1930957216
349	0.1926925157
350	0.1922585218
351	0.1921332503
352	0.1919073057
353	0.1913007082
354	0.190786149
355	0.1904827658
356	0.1903518612
357	0.1899012129
358	0.1897960754
359	0.1896012307
360	0.1891109249
361	0.1888120227
362	0.1883608221
363	0.18790184
364	0.1876989086
365	0.1874579739
366	0.1873705789
367	0.1869340359
368	0.1866499137
369	0.1864467487
370	0.1861647287
371	0.1858306797
372	0.1857411679
373	0.185519569
374	0.1852021273
375	0.1848109085
376	0.1844717265
377	0.1843048242
378	0.1838084963
379	0.1834987897
380	0.183221461
381	0.1825700619
382	0.1822605676
383	0.1817739714
384	0.1809495299
385	0.1805134301
386	0.1800995647
387	0.1795585901
388	0.1794506647
389	0.179302574
390	0.1790922219
391	0.1785649105
392	0.1784283674
393	0.1781914989
394	0.1779232127
395	0.1774444863
396	0.1772615598
397	0.177082912
398	0.1769574899
399	0.1767069952
400	0.176539807
401	0.1763197707
402	0.1759434015
403	0.1758573216
404	0.1749182009
405	0.174665602
406	0.1743101644
407	0.174191791
408	0.1739767387
409	0.1735518864
410	0.1732972308
411	0.172829966
412	0.1727025437
413	0.1724202773
414	0.1718394065
415	0.1714955744
416	0.1710908999
417	0.1709048892
418	0.1705706436
419	0.1702957277
420	0.1700173102
421	0.1695343685
422	0.1694901201
423	0.1694143978
424	0.1693078149
425	0.1691066568
426	0.1688033662
427	0.1684513527
428	0.1682980204
429	0.1679312796
430	0.1677033115
431	0.1674183338
432	0.1671380505
433	0.1667200135
434	0.1663799025
435	0.1658817808
436	0.1654881872
437	0.1652970425
438	0.1652045223
439	0.16485869
440	0.1644358219
441	0.1643338671
442	0.1640760959
443	0.1637282446
444	0.1633041056
445	0.1629941892
446	0.16276851
447	0.162702373
448	0.1622586891
449	0.1621405949
450	0.1619730841
451	0.161889929
452	0.161745899
453	0.1614090869
454	0.1611708386
455	0.1608989593
456	0.1604116845
457	0.160133255
458	0.1597507925
459	0.1595993257
460	0.1593583391
461	0.158949628
462	0.158716201
463	0.1585412433
464	0.157882482
465	0.1578220314
466	0.1574451835
467	0.1572775159
468	0.1571715474
469	0.1569854468
470	0.1565345381
471	0.1561740392
472	0.1556234215
473	0.1555336265
474	0.1552608687
475	0.1548513276
476	0.1545907308
477	0.1542964985
478	0.1538961557
479	0.1535109145
480	0.153259427
481	0.1530872339
482	0.1528671543
483	0.1526478714
484	0.1521319346
485	0.1518933911
486	0.1514858374
487	0.1512165265
488	0.1506179917
489	0.1504965386
490	0.1503873778
491	0.1502168825
492	0.1499144085
493	0.1495667356
494	0.1491686797
495	0.1489770549
496	0.1487361434
497	0.1483592208
498	0.148232252
499	0.1477280987
