product_id,product_name,subcategory,month_minus_3,month_minus_2,month_minus_1,prediction,allocation_ratio,historical_avg,actual,mape
GAM200028,虱目魚肚去刺200/230(60片/箱),虱目魚肚,0.0,491.0,114.0,111.56105266638062,0.04409299613730778,46.53846153846154,0.0,999.0
GAM200010,虱目魚肚200/240-A,虱目魚肚,0.0,0.0,0.0,0.0,0.0,27.857142857142858,0.0,0.0
GAM200022,虱目魚肚去刺205/220(10K/50片/箱),虱目魚肚,0.0,0.0,0.0,0.0,0.03571168282195175,45.54545454545455,0.0,0.0
GAM2WS003,虱目魚肚(120/140)-台南純海水-A,虱目魚肚,0.0,0.0,0.0,0.0,0.0,21.7,0.0,0.0
GAM2FH100,去刺虱目魚肚100g(100片/件),虱目魚肚,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0
GAM200021,虱目魚肚去刺120/145(10K/70片/箱),虱目魚肚,0.0,0.0,0.0,0.0,0.01719991254281758,33.482142857142854,0.0,0.0
GAM2UH200,虱目魚肚有刺(200/250),虱目魚肚,0.0,5.0,95.0,18.439843415930678,0.007288098535092194,14.506172839506172,0.0,999.0
GAM2UH180,虱目魚肚有刺-大(50片/箱),虱目魚肚,75.0,0.0,0.0,0.0,0.005466073901319146,18.75,0.0,0.0
GAM2WS006,虱目魚肚(200/240)-台南純海水-A,虱目魚肚,0.0,0.0,0.0,0.0,0.0,8.625,0.0,0.0
GAM200011,虱目魚肚240/280-A,虱目魚肚,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
GAM200025,虱目魚肚去刺180/200(60片/箱),虱目魚肚,0.0,0.0,0.0,0.0,0.0014576197070184389,34.95652173913044,0.0,0.0
12MFD4502,白帶魚切塊4/5(有肚) 10K/箱-津湧,白帶魚切塊,720.0,500.0,400.0,664.2512456006663,0.4637913690933192,10.91588785046729,0.0,999.0
12MFD3401,白帶魚切塊3/4(有肚) 10K/箱-津湧,白帶魚切塊,520.0,442.18,440.0,530.0949349097912,0.37012118116380294,10.730387755102042,0.0,999.0
12MFD3402,白帶魚切塊3/4(有肚8cm) 10K/箱-佳魚,白帶魚切塊,80.0,100.0,160.0,107.71641820551345,0.07520941120432204,10.416666666666666,0.0,999.0
12MFD5601,白帶魚切塊5/6(有肚8cm) 10K/箱-佳魚,白帶魚切塊,70.0,100.0,110.0,98.74005002172066,0.06894196027062853,10.384615384615385,0.0,999.0
12MFD4505,白帶魚切塊4/5(12cm) 10K/箱-佳魚,白帶魚切塊,70.0,10.0,0.0,31.417288643274752,0.021936078267927258,10.0,0.0,999.0
NR2000005,四季豆(1K*10包),四季豆,912.0,1353.0,962.0,698.3971977568335,0.5002170452901172,12.232018561484919,0.0,999.0
NR2000004,四季豆(10K/箱),四季豆,900.0,1140.0,50.0,565.6673860917367,0.40515120821878164,15.961538461538462,0.0,999.0
NR2000008,四季豆(1K*10包)-紐西蘭,四季豆,10.0,190.0,69.0,132.1237394657128,0.09463174649110115,10.694444444444445,0.0,999.0
BM1501802,肉魚三去150/180(中國/10K)-粉,肉魚,480.0,450.0,490.0,362.2068422169039,0.31130434782608696,11.763157894736842,0.0,999.0
BM1201502,肉魚三去120/150(中國/10K)-藍,肉魚,180.0,210.0,290.0,250.91423706645858,0.21565217391304348,11.015756929637528,10.0,24.09142370664586
BM1001200,肉魚三去100/120(中國/10K)-綠,肉魚,190.0,230.0,300.0,188.18567779984394,0.1617391304347826,10.43859649122807,0.0,999.0
BM1802000,肉魚三去180/200(中國/10K)-橙,肉魚,190.0,180.0,200.0,147.71563956331838,0.12695652173913044,10.579710144927537,0.0,999.0
BM-F80100,肉魚二去80/100 10K-2號 (越南),肉魚,70.0,0.0,0.0,0.0,0.06260869565217392,10.284516129032259,0.0,0.0
BM-F12150,肉魚二去120/150 10K-4號 (越南),肉魚,0.0,0.0,0.0,0.0,0.04173913043478261,11.176470588235293,0.0,0.0
BM-F10120,肉魚二去100/120 10K-3號 (越南),肉魚,0.0,0.0,0.0,0.0,0.029565217391304348,12.5,0.0,0.0
BM-F15180,肉魚二去150/180 10K-5號(越南),肉魚,0.0,0.0,0.0,0.0,0.02608695652173913,10.169491525423728,0.0,0.0
BM-F60800,肉魚二去60/80 10K-1號(越南),肉魚,0.0,10.0,10.0,24.28202294191535,0.020869565217391306,11.714285714285714,0.0,999.0
BM1201501,肉魚三去120/150 3號(中國/10K),肉魚,10.0,10.0,0.0,4.047003823652558,0.0034782608695652175,11.025641025641026,0.0,999.0
HQNRT0000,脆皮預炸三節翅W6(25支*4包)-東豐,脆皮預炸三節翅,3425.0,3000.0,3050.0,3556.25,1.0,79.91573033707866,0.0,999.0
GMFB00000,暑魚清肉(去肚)13k,暑魚清肉,988.0,923.0,845.0,729.7288665320059,1.0,25.75378787878788,13.0,55.13298973323122
V1EVRX000,杏鮑菇下角料(3K/包)-B,杏鮑菇下角料,1323.0,1452.0,1551.0,1575.2415751982626,1.0,7.742056074766355,30.0,51.508052506608756
JEM5J10KG,吳郭魚整尾250/300-10K-團膳用-戎,吳郭魚,290.0,230.0,217.15,160.0519720905399,0.19660995509455442,12.678645833333333,0.0,999.0
JEM5J10KH,吳郭魚整尾300/350-10K-團膳用-戎,吳郭魚,0.0,0.0,0.0,0.0,0.14167351843653153,65.0,0.0,0.0
JEM5J10KE,吳郭魚整尾150/200-10K-團膳用-戎,吳郭魚,170.0,160.0,190.0,109.15208802417312,0.13408386566314592,13.12,0.0,999.0
JEM5J10KF,吳郭魚整尾200/250-10K-團膳用-戎,吳郭魚,150.0,120.0,160.0,100.91419458838647,0.12396432863196509,25.52,0.0,999.0
JEM5J10KI,吳郭魚整尾350/400-10K-團膳用-戎,吳郭魚,0.0,410.0,0.0,84.43840771681316,0.10372525456960344,143.33333333333334,0.0,999.0
JEM5J10KD,吳郭魚整尾120/150-10K-團膳用-戎,吳郭魚,140.0,140.0,100.0,80.31946099891984,0.09866548605401303,11.33731343283582,0.0,999.0
JEMNF0003,吳郭魚三去200/300 10K,吳郭魚,0.0,10.0,10.0,76.20051428102651,0.09360571753842262,11.05,0.0,999.0
JEMNF0000,吳郭魚三去250/300 10K-利盈,吳郭魚,0.0,0.0,0.0,0.0,0.058187337929289734,11.153846153846153,0.0,0.0
JEM5J10KB,吳郭魚整尾80/100-10K-團膳用-戎,吳郭魚,7.3,0.0,20.0,13.860255705711038,0.017026121054961735,10.561538461538461,0.0,999.0
JEMNF5600,吳郭魚三去5/6 10K,吳郭魚,0.0,20.0,10.0,12.356840153679975,0.015179305546771235,10.0,0.0,999.0
JEMNF0001,吳郭魚三去400/500 10K-利盈,吳郭魚,10.0,10.0,0.0,10.297366794733314,0.01264942128897603,10.81081081081081,0.0,999.0
JEM5J10KC,吳郭魚整尾100/120-10K-團膳用-戎,吳郭魚,0.0,0.0,0.0,0.0,0.004629688191765227,11.886666666666667,0.0,0.0
A51W00001,蜜汁棒腿160g(20支*4包)-點鑫,蜜汁棒腿,1060.0,1000.0,1120.0,989.8212631466346,1.0,39.060402684563755,0.0,999.0
1DM000004,白口魚120/150 10K-4號,白口魚,420.0,360.0,400.0,372.6649352332307,0.35111876075731496,10.673076923076923,0.0,999.0
1DM000007,白口魚180/200 10K-6號,白口魚,400.0,260.0,180.0,266.7111791375083,0.2512908777969019,10.384615384615385,0.0,999.0
1DM000003,白口魚100/120 10K-3號,白口魚,240.0,300.0,340.0,230.17540117346604,0.21686746987951808,10.092592592592593,0.0,999.0
1DM000005,白口魚150/180 10K-5號,白口魚,80.0,100.0,120.0,80.3787115208929,0.0757314974182444,10.0,0.0,999.0
1DM000006,白口魚200/250 10K-7號,白口魚,80.0,60.0,60.0,69.41797813168024,0.06540447504302926,10.0,0.0,999.0
1DM3C0000,白口魚3號 100/120 10K 越南,白口魚,50.0,10.0,0.0,42.016144658648564,0.039586919104991396,11.810344827586206,0.0,999.0
8XGGD1W00,阿里山熟烤棒腿110g(30支*4包)-點鑫,阿里山熟烤棒腿,481.0,570.0,570.0,558.6848219889815,1.0,76.5904761904762,0.0,999.0
CDM000002,哈克魚120/150 10K-津湧,哈克魚,240.0,250.0,210.0,228.55786062260378,0.47240712905303844,10.698324022346368,0.0,999.0
CDM000001,哈克魚100/120 10K-津湧,哈克魚,168.5,150.0,160.0,147.21204022828616,0.3042731372127979,10.393139013452915,0.0,999.0
CDM000003,哈克魚150/180 10K-津湧,哈克魚,40.0,0.0,70.0,56.100565789184564,0.11595447713120034,10.206185567010309,0.0,999.0
CDM000005,哈克魚180/200 10K/箱,哈克魚,110.0,90.0,50.0,51.944968323319046,0.10736525660296328,10.0,0.0,999.0
JMFD5K00D,烏魚切塊130/160-5K,烏魚切塊,200.0,215.0,203.5,237.43959027797274,0.3504582730342499,5.898407643312102,0.0,999.0
JMFD5K00C,烏魚切塊100/130-5K,烏魚切塊,131.9,125.0,110.0,158.0207046103232,0.23323685479980705,6.020675105485232,0.0,999.0
