subcategory,cv,volatility_group,month_minus_3,month_minus_2,month_minus_1,prediction,historical_avg,actual,mape
醬燒大排,0.35052488802039594,低波動,49.0,52.1,1.0,37.692052655835276,36.705555555555556,0,999
土雞去皮,0.362925441424348,低波動,30.0,60.0,0.0,34.39088262464468,38.8235294117647,0,999
冷凍魚排,0.5649996313682354,中波動,48.0,96.0,0.0,53.67614749021095,36.32941176470588,0,999
豬頭皮煙燻,0.22747590869349593,低波動,38.0,36.0,0.0,39.32697131118997,35.705882352941174,0,999
無骨雞排,0.6256714287425926,中波動,22.0,16.1,0.0,27.425631090469416,35.42941176470588,0,999
988香酥魚排,1.8863140527065672,高波動,0.1,18.0,0.0,12.0,45.64692307692307,0,999
香蒜帶踝去骨腿排肉,0.31569841391420667,低波動,33.0,31.1,0.0,32.2232179684368,33.42470588235294,0,999
調理里肌豬排,0.47565637815379,中波動,16.0,25.0,1.0,15.340139522024119,29.844444444444445,0,999
豬五花肉片,0.44949757259836015,中波動,54.0,62.0,0.0,53.77452899918299,40.69230769230769,0,999
白蝦,1.2811852356701101,高波動,118.0,120.0,1.0,18.0,29.11111111111111,0,999
裹粉柳葉魚,0.7350909618356846,中波動,180.0,10.0,0.0,115.5,104.032,0,999
金目鱸魚片,1.115993261472196,高波動,60.0,3.9,0.0,60.0,74.24285714285715,0,999
虱目魚皮,1.1586099252131838,高波動,149.0,0.0,0.0,0.0,57.666666666666664,0,0
正金線魚,0.5172976267606766,中波動,130.0,80.0,0.0,95.841,98.0,0,999
薄鹽鯖魚碎肉,0.6470027665264063,中波動,0.0,64.0,0.0,51.17897799529999,43.09090909090909,0,999
鮪魚腹肉切塊,0.47648135078552906,中波動,0.0,12.0,0.0,34.34226317399999,47.1,0,999
黃花魚,1.1567278504998681,高波動,0.0,0.0,0.0,0.0,45.96,0,0
特級鯛魚片,0.665508791822962,中波動,30.0,35.0,5.0,24.5,28.3125,0,999
988香酥魚塊,0.5060564179943013,中波動,0.0,0.0,0.0,0.0,41.68,0,0
炙燒去骨腿排,0.22407521569722416,低波動,28.0,26.0,0.0,29.31696235715907,23.595882352941178,0,999
加州鱸魚片,0.7749556879183686,中波動,101.0,94.0,11.0,71.5,62.166666666666664,0,999
雞米花,0.5492050169456344,中波動,44.0,40.0,0.0,35.25952083589408,21.823529411764707,0,999
半香雞,0.38420413855902175,低波動,24.0,28.0,0.0,26.440715149444717,19.205882352941178,0,999
鯖魚原料,0.3563048203434806,低波動,20.0,20.0,0.0,26.267640767048256,24.615384615384617,0,999
黑輪條,1.067810347919631,高波動,54.0,27.0,0.0,12.0,24.46153846153846,0,999
火鍋牛肉片,0.7622998314349774,中波動,4.0,14.0,0.0,10.728742566093915,18.529411764705884,0,999
玉米塊,0.6843231244308022,中波動,12.0,15.0,3.0,11.835526388696856,15.666666666666666,0,999
金線魚,0.6085806194501846,中波動,50.0,30.0,0.0,50.0,54.0,0,999
鱸魚魚柳條,0.6231548727763048,中波動,3.0,31.0,0.0,20.0,16.8,0,999
生口柳葉魚,0.6488572049227956,中波動,40.0,18.0,0.0,27.370745999999993,23.6,0,999
熟台灣白蝦,0.9053393873187858,高波動,0.0,0.0,0.0,0.0,54.25,0,0
金目鱸魚一夜干,1.3204553013206757,高波動,0.0,42.0,0.0,6.5,19.6,0,999
